timestamp,visitorid,event,itemid,transactionid,item_type
1435193216976,50734,view,4442,,accessories
1440996903983,355903,view,269631,,clothing
1431280237515,1066758,view,221329,,clothing
1439507864399,1049477,view,23683,,bags
1437601159324,143239,view,6552,,shoes
1440868598798,762715,view,46130,,accessories
1436909226237,976898,view,82224,,shoes
1440779774908,269679,view,164327,,accessories
1431989552823,599789,view,386382,,bags
1436682358636,270991,view,369195,,jewelry
1442006916605,294236,view,243355,,jewelry
1438374848875,40936,view,338817,,bags
1436289794379,513155,view,118195,,jewelry
1434379349046,856765,view,219859,,bags
1439506973421,1000514,view,427472,,clothing
1430795166324,512477,view,313276,,bags
1431824757427,19238,view,224237,,jewelry
1442199463575,1351208,view,151283,,jewelry
1441666184859,1159686,view,450082,,shoes
1439149188531,425945,view,64951,,accessories
1432179356085,1239092,view,211811,,accessories
1430718049441,976647,view,165302,,bags
1436128438389,38360,view,349306,,jewelry
1442114993691,1347127,view,376751,,clothing
1432749320876,57905,view,456056,,bags
1432084607531,415761,view,319613,,shoes
1435966930108,304352,view,311585,,accessories
1436302991626,471651,view,228392,,accessories
1435770329909,622118,view,442236,,accessories
1437719116163,328843,view,264221,,clothing
1441342561874,658643,view,47524,,bags
1438197492354,316573,view,402019,,accessories
1433201533133,765,view,287017,,bags
1438960190631,468309,view,437177,,jewelry
1434141084524,205659,view,31469,,bags
1431024298533,385399,view,376113,,clothing
1440561946970,1370405,view,211360,,jewelry
1441337863177,301542,view,374449,,shoes
1437962746389,1262733,view,310397,,jewelry
1441319334975,1083494,view,365948,,accessories
1435799692350,255112,view,31514,,clothing
1439434540589,427521,view,70022,,bags
1431916820553,13171,view,377960,,clothing
1440077263995,545582,view,381987,,bags
1437123282702,625309,view,181149,,bags
1440716383325,460198,addtocart,153909,,clothing
1440541153049,477852,view,392940,,clothing
1435118563597,857355,view,72802,,clothing
1437336142262,485300,view,285430,,bags
1432953031093,280065,view,397204,,bags
1439071711825,1253622,view,447654,,bags
1438128234411,328497,view,134825,,accessories
1430768103005,76807,view,351044,,clothing
1434038836111,92574,addtocart,9629,,jewelry
1434661259129,1015139,view,17137,,accessories
1441496471979,395568,view,338660,,jewelry
1432769558169,404403,view,352230,,shoes
1440361976513,569553,view,48256,,clothing
1437251846307,107717,view,270487,,jewelry
1431462037737,1320267,view,197852,,bags
1442255892907,1200854,view,218746,,clothing
1437495984974,1312156,addtocart,55251,,shoes
1440091005380,568171,view,347369,,bags
1441736688288,759447,view,24150,,jewelry
1439863673480,1402509,view,234808,,accessories
1441774228687,1027719,view,287449,,clothing
1438397586660,596592,view,126365,,clothing
1439135191744,413706,view,51155,,shoes
1434841150669,816622,addtocart,207197,,shoes
1434577989998,349944,view,344527,,bags
1434667865509,859035,view,419937,,clothing
1432098821640,772114,view,23357,,shoes
1432662784750,258714,view,86315,,shoes
1438617130345,1385073,view,29725,,shoes
1431237215820,1294586,view,105632,,shoes
1432340171280,554751,view,347244,,bags
1436289680621,181157,view,271894,,clothing
1437245593286,657729,view,84149,,bags
1434737025021,921432,view,163189,,clothing
1435610998221,132496,view,451938,,bags
1441546370072,462098,view,358673,,jewelry
1437772450694,169646,view,58935,,jewelry
1431999905726,570,view,465470,,accessories
1434659615770,498362,view,228392,,accessories
1436243313899,901310,view,446454,,clothing
1432744600612,519382,view,337194,,accessories
1437909844298,1164862,view,48066,,jewelry
1436852222572,1263511,view,404643,,clothing
1431461658930,1066430,view,51667,,clothing
1434753859720,95225,view,386859,,jewelry
1435009147553,765630,transaction,394809,4462.0,accessories
1436930495289,120707,view,429180,,shoes
1438629642411,535599,view,63404,,jewelry
1437083743279,401062,view,279402,,accessories
1431138474121,299878,view,32299,,shoes
1432243290959,159316,view,19572,,shoes
1432424083837,416902,view,418688,,jewelry
1435963354629,861495,view,164498,,accessories
1432065296850,458772,view,280375,,shoes
1433875331057,748040,view,76617,,accessories
